season,game_date,Team,opponent,Result,point_differential,Pre_Elo_Team,Pre_Elo_Opponent,Post_Elo_Team,Post_Elo_Opponent,Elo_Change,AP_rank,opponent_rank,rank_change
2024,2024-10-12,Illinois,Purdue,W,1,1550.8296988607385,1340.8514441415111,1554.9471399225208,1336.7340030797288,4.1174410617823725,23.0,,2.0
2024,2024-10-12,Purdue,Illinois,L,-1,1340.8514441415111,1550.8296988607385,1336.7340030797288,1554.9471399225208,-4.1174410617823725,,,
2024,2024-10-12,Kent State,Ball State,L,-2,1380.3608335154145,1377.8495906693724,1362.7063681701907,1395.5040560145962,-17.654465345223755,,,0.0
2024,2024-10-12,Ball State,Kent State,W,2,1377.8495906693724,1380.3608335154145,1395.5040560145962,1362.7063681701907,17.654465345223755,,,
2024,2024-10-12,Kentucky,Vanderbilt,L,-7,1528.7661571705523,1493.1596618816461,1493.5232336955935,1528.402585356605,-35.24292347495887,,,0.0
2024,2024-10-12,Vanderbilt,Kentucky,W,7,1493.1596618816461,1528.7661571705523,1528.402585356605,1493.5232336955935,35.24292347495887,,,
2024,2024-10-12,Louisiana,App State,W,10,1561.622842805326,1385.6514019248239,1578.657850816885,1368.6163939132648,17.035008011559157,,,0.0
2024,2024-10-12,App State,Louisiana,L,-10,1385.6514019248239,1561.622842805326,1368.6163939132648,1578.657850816885,-17.035008011559157,,,
2024,2024-10-12,Georgia State,Old Dominion,L,-7,1435.6867902677757,1418.4333386831336,1401.4363806719502,1452.683748278959,-34.250409595825516,,,0.0
2024,2024-10-12,Old Dominion,Georgia State,W,7,1418.4333386831336,1435.6867902677757,1452.683748278959,1401.4363806719502,34.250409595825516,,,
2024,2024-10-12,Notre Dame,Stanford,W,42,1621.4893502853045,1434.8262709662308,1645.9256351814672,1410.389986070068,24.436284896162714,12.0,,-2.0
2024,2024-10-12,Stanford,Notre Dame,L,-42,1434.8262709662308,1621.4893502853045,1410.389986070068,1645.9256351814672,-24.436284896162714,,,
2024,2024-10-12,South Carolina,Alabama,L,-2,1527.5480719359005,1574.42379032114,1513.0973309027438,1588.8745313542966,-14.45074103315655,,7.0,0.0
2024,2024-10-12,Alabama,South Carolina,W,2,1574.42379032114,1527.5480719359005,1588.8745313542966,1513.0973309027438,14.45074103315655,,,
2024,2024-10-12,Iowa State,West Virginia,W,12,1618.0885476409226,1546.978249142955,1648.394579557228,1516.6722172266495,30.30603191630556,13.0,,-3.0
2024,2024-10-12,West Virginia,Iowa State,L,-12,1546.978249142955,1618.0885476409226,1516.6722172266495,1648.394579557228,-30.30603191630556,,,
2024,2024-10-15,South Alabama,Troy,W,16,1455.0788735452225,1357.5827185902233,1484.7283550666375,1327.9332370688082,29.64948152141497,,,0.0
2024,2024-10-15,Troy,South Alabama,L,-16,1357.5827185902233,1455.0788735452225,1327.9332370688082,1484.7283550666375,-29.64948152141497,,,
2024,2024-10-15,New Mexico State,Louisiana Tech,W,3,1323.1525665580784,1448.9036781282641,1349.292842214349,1422.7634024719935,26.140275656270735,,,0.0
2024,2024-10-15,Louisiana Tech,New Mexico State,L,-3,1448.9036781282641,1323.1525665580784,1422.7634024719935,1349.292842214349,-26.140275656270735,,,
2024,2024-10-15,Middle Tennessee,Kennesaw State,W,9,1316.455455239235,1378.414593850902,1356.947122569705,1337.9229265204322,40.49166733047001,,,0.0
2024,2024-10-15,Kennesaw State,Middle Tennessee,L,-9,1378.414593850902,1316.455455239235,1337.9229265204322,1356.947122569705,-40.49166733047001,,,
2024,2024-10-16,Western Kentucky,Sam Houston,W,17,1584.949242331623,1573.885659957852,1629.1671343476578,1529.6677679418174,44.21789201603472,,,0.0
2024,2024-10-16,Sam Houston,Western Kentucky,L,-17,1573.885659957852,1584.949242331623,1529.6677679418174,1629.1671343476578,-44.21789201603472,,,
2024,2024-10-16,UTEP,Florida International,W,9,1362.5823826365734,1492.9728714023129,1406.1762155565502,1449.379038482336,43.5938329199768,,,0.0
2024,2024-10-16,Florida International,UTEP,L,-9,1492.9728714023129,1362.5823826365734,1449.379038482336,1406.1762155565502,-43.5938329199768,,,
2024,2024-10-17,Marshall,Georgia State,W,15,1491.8893952356927,1401.4363806719502,1521.8736005347212,1371.4521753729218,29.9842052990285,,,0.0
2024,2024-10-17,Georgia State,Marshall,L,-15,1401.4363806719502,1491.8893952356927,1371.4521753729218,1521.8736005347212,-29.9842052990285,,,
2024,2024-10-17,Boston College,Virginia Tech,L,-21,1512.2875646853681,1550.4447774001653,1470.0712649117277,1592.6610771738058,-42.21629977364049,,,0.0
2024,2024-10-17,Virginia Tech,Boston College,W,21,1550.4447774001653,1512.2875646853681,1592.6610771738058,1470.0712649117277,42.21629977364049,,,
2024,2024-10-18,Florida State,Duke,L,-7,1408.1813555941847,1515.7850609220136,1387.4342209841088,1536.5321955320894,-20.747134610075747,,,0.0
2024,2024-10-18,Duke,Florida State,W,7,1515.7850609220136,1408.1813555941847,1536.5321955320894,1387.4342209841088,20.747134610075747,,,
2024,2024-10-18,Purdue,Oregon,L,-35,1336.7340030797288,1611.8674680199022,1321.8602941145455,1626.7411769850855,-14.873708965183333,,2.0,0.0
2024,2024-10-18,Oregon,Purdue,W,35,1611.8674680199022,1336.7340030797288,1626.7411769850855,1321.8602941145455,14.873708965183333,,,
